"id","group","tier","evidentiary_basis","source_company","source_document","source_year","source_url","paragraph_position","paragraph","curator_notes","provenance_status"
"GW-001","greenwashing","A","SEC settlement (2023, $19M) and Frankfurt Public Prosecutor fine (April 2025, €25M) for materially misleading ESG statements","DWS Group","DWS Sustainability Report 2019/2018 (Letter from CEO/CIO)","2019","https://group.dws.com/responsibility/sustainability-report/","CEO foreword / introduction","We are working as one global team to ensure we have the right products, policies and people in place to become the leading ESG-integrated asset manager of the future. We realize that this ambition cannot be achieved overnight, but in 2020, we will work hard to get a good head start. Putting ESG at the core of our fiduciary actions goes beyond our own investment decisions but also by intensifying active ownership of our holdings, extending proxy voting and number of engagement activities to drive change for the benefit of our clients.","Self-positioning as 'leading ESG-integrated asset manager'; aspirational framing without specific implementation metrics. Frankfurt prosecutors later cited claims of being an 'ESG leader' as not matching reality. Vague time horizon ('the future'), no measurable targets in this passage.","VERIFIED_PRIMARY"
"GW-002","greenwashing","A","SEC settlement (2023) and Frankfurt prosecutor fine (2025) for ESG misrepresentation","DWS Group","DWS Sustainability Report 2019/2018","2019","https://group.dws.com/responsibility/sustainability-report/","Investment process section","Financially material ESG topics and global trends are integrated into our investment processes in all asset classes across our Active, Passive, and Alternatives investment decisions and we support the growth of dedicated ESG products and solutions. In our view, integrating environmental, social, and corporate governance factors into the investment process contributes to a better understanding of businesses and the environments issuers operate in. It enables us to identify the risks and opportunities that a traditional financial analysis would miss, or fail to systematically address, with potentially significant impact on long-term investment performance.","This is the precise type of disclosure the SEC found materially misleading: claims of ESG integration 'across all asset classes' that the firm failed to actually implement in its products. Generic benefits framing, no metrics, no third-party verification.","VERIFIED_PRIMARY"
"GW-003","greenwashing","A","Frankfurt Public Prosecutor's Office (April 2025): specific phrasing 'ESG is integral part of our DNA' cited as not corresponding to reality","DWS Group","DWS external communications / annual report (2020-2022 period)","2020","https://www.dandodiary.com/2025/04/articles/esg/deutsche-bank-asset-management-unit-pays-e25m-greenwashing-fine/","External communications quoted in prosecutor's findings","ESG, and sustainability in its broadest sense, is of the utmost importance to DWS. This springs from the fiduciary obligations central to us as an asset manager. And sustainability is one of our four core values at DWS. As a firm, we have placed ESG at the heart of everything that we do. Our aim is to become the leading ESG asset manager and thought leader by applying 'ESG first' principles as fiduciary and corporate.","Direct match to language Frankfurt prosecutors specifically cited. 'At the heart of everything we do' / 'leading ESG asset manager' / 'ESG first' — all aspirational, none verifiable, zero specific quantification. Classic case of marketing language presented as substantive disclosure.","VERIFIED_PRIMARY"
"GW-004","greenwashing","A","U.S. EPA Notice of Violation (Sep 2015), DOJ settlement, multi-jurisdictional regulatory action; defeat-device fraud confirmed","Volkswagen AG","Volkswagen Group Annual Report 2014 (Environmental Management section)","2014","https://annualreport2014.volkswagenag.com/group-management-report/sustainable-value-enhancement/environmental-management.html","Environmental Management — strategic targets","We aim to be the leading automotive company in ecological terms as well by 2018. To help us achieve this goal, we agreed our Group environmental strategy encompassing all of our environmental protection activities at the end of 2013. The modular structure of this Group environmental strategy focuses on our value chain and involves all business areas. We have established ambitious, measurable targets in these areas and are pursuing them systematically. This includes reducing CO2 emissions from our European new car fleet to 95 g CO2/km by 2020 as well as designing each new model generation to be 10 to 15% more efficient than its predecessor, aiming to place us at the forefront of creating environmentally friendly products.","Published mid-Dieselgate (2014). Note the surface specificity: 95 g CO2/km, 10-15% efficiency. But these are tailpipe lab-test numbers — the same test regime VW was actively defeating with cheat software. Specific numbers can still be misleading when the measurement method is corrupted. Important test case for the pipeline: high specificity score does not imply low risk.","VERIFIED_PRIMARY"
"GW-005","greenwashing","A","EPA/DOJ Dieselgate adjudication; 'Clean Diesel' marketing was central to the fraud claims","Volkswagen AG","Volkswagen Group Annual Report 2014 (Environmental Management)","2014","https://annualreport2014.volkswagenag.com/group-management-report/sustainable-value-enhancement/environmental-management.html","Environmental Management — anchoring statement","Anchoring environmental aspects firmly within our organizational and decision-making processes is essential to achieving our ambitious targets. The Group's environmental management system has been in place for many years and provides the basis for ensuring that these aspects are taken into account. The Group's environmental policy is a key component of this. We make sure that these processes are regularly confirmed by submitting them to certification procedures and external audits, including in the current reporting year.","Process-talk without substance. References 'certification' and 'external audits' but does not name the auditor, the standard, or the audit findings. Aspiration ('ambitious targets') without commitment. The defeat-device software was active during the period this paragraph was written.","VERIFIED_PRIMARY"
"GW-006","greenwashing","A","EPA/DOJ Dieselgate adjudication","Volkswagen AG","Volkswagen Group Annual Report 2014 (Environmental Awards)","2014","https://annualreport2014.volkswagenag.com/group-management-report/sustainable-value-enhancement/environmental-management/environmental-awards.html","Environmental Awards section","The Volkswagen Group and its brands received numerous awards for environmental protection and sustainability projects in 2014. Not one, but two cars in the Volkswagen Passenger Cars brand received the accolade of 'most environmentally friendly vehicles' in all classes in 2014 from AUTOTEST, the magazine for car buyers published by AUTO BILD, and ÖKOTREND, the independent environmental research institute. The eco up! took first place in the small car category and the Passat 1.4 TSI EcoFuel was the winner in the upper midsize category. Fuel consumption and CO2 emissions were not the only deciding factors – the jury also took account of the Company's environmental impact and its ecological and social responsibility efforts.","Award-citation as substitute for substantive disclosure. Pure-opportunity framing. Notably, the awards depend on emissions data that was being manipulated. This paragraph is interesting because it has high apparent specificity (named awards, named models) but the underlying signal is promotional, not informational.","VERIFIED_PRIMARY"
"GW-007","greenwashing","A","UK Advertising Standards Authority ruling (19 October 2022): ads found misleading; HSBC ordered not to repeat","HSBC UK Bank plc","HSBC bus-stop advertising campaign (London/Bristol), Oct 2021, as reproduced in ASA Ruling G21-1127656","2021","https://www.asa.org.uk/rulings/hsbc-uk-bank-plc-g21-1127656-hsbc-uk-bank-plc.html","Advertisement text (a)","Climate change doesn't do borders. Neither do rising sea levels. That's why HSBC is aiming to provide up to $1 trillion in financing and investment globally to help our clients transition to net zero.","Note: this is short — under the typical paragraph length the ClimateBERT models were trained on. Document this limitation in the paper. The ASA found this misleading because it omits HSBC's own continuing financing of fossil-fuel sectors. A textbook case of greenwashing-by-omission.","VERIFIED_RULING"
"GW-008","greenwashing","A","UK ASA ruling (19 October 2022) found ad misleading","HSBC UK Bank plc","HSBC bus-stop advertising campaign, Oct 2021, as reproduced in ASA Ruling G21-1127656","2021","https://www.asa.org.uk/rulings/hsbc-uk-bank-plc-g21-1127656-hsbc-uk-bank-plc.html","Advertisement text (b)","Climate change doesn't do borders. So in the UK, we're helping to plant 2 million trees which will lock in 1.25 million tonnes of carbon over their lifetime.","Highly specific (2 million trees, 1.25M tonnes) but contextually misleading: HSBC's annual oil-and-gas financed emissions alone were ~65.3 million tonnes CO2 (per the ASA's review of HSBC's 2021 Annual Report). The 1.25M-tonne tree commitment is less than 2% of one year's financed emissions in one sector. This case study is essential for the paper: high specificity does not imply low risk when the chosen frame is selective.","VERIFIED_RULING"
"GW-009","greenwashing","A","ASA ruling October 2022; HSBC's own defense reproduced in the ruling","HSBC UK Bank plc","HSBC defense submission to ASA, reproduced in Ruling G21-1127656","2022","https://www.asa.org.uk/rulings/hsbc-uk-bank-plc-g21-1127656-hsbc-uk-bank-plc.html","HSBC's response to the complaint","HSBC believed the claims in the ads highlighted two tangible and specific short-to-medium term initiatives, capable of quantifiable measurement, and would not be seen as commenting, in a broader sense, on their green credentials or environmental contribution. The ads therefore did not mislead about HSBC's total environmental impact and invited consumers to find out more about the initiatives through a call to action — 'Search HSBC Sustainability'. They said that consumers who searched for those terms on the Internet would find a link to a page on HSBC's website where they could access a detailed summary of climate change initiatives.","Defensive corporate framing: 'tangible', 'specific', 'quantifiable'. The ASA rejected this defense. Useful test case because the language is rhetorically strong on commitment and specificity but the omitted context is what makes it greenwashing. Pipeline likely to score this as low-risk; an interesting limitation case study.","VERIFIED_RULING"
"RD-001","rigorous","—","CDP A-list; SBTi-validated targets; widely cited as a rigorous-disclosure exemplar precisely BECAUSE the report acknowledges shortfalls","Microsoft","Microsoft 2024 Environmental Sustainability Report (covering FY23)","2024","https://blogs.microsoft.com/on-the-issues/2024/05/15/microsoft-environmental-sustainability-report-2024/","Carbon emissions section — performance against baseline","In 2023, we saw our Scope 1 and 2 emissions decrease by 6.3% from our 2020 baseline. This area remains on track to meet our goals. But our indirect emissions (Scope 3) increased by 30.9%. In aggregate, across all Scopes 1–3, Microsoft's emissions are up 29.1% from the 2020 baseline. The rise in our Scope 3 emissions primarily comes from the construction of more datacenters and the associated embodied carbon in building materials, as well as hardware components such as semiconductors, servers, and racks. These are the biggest drivers of our Scope 3 challenges. We have launched a company-wide initiative to identify and develop the added measures we'll need to reduce our Scope 3 emissions.","Hallmarks of rigorous disclosure: specific scope-disaggregated numbers, explicit acknowledgment of failure against goal (29.1% INCREASE while pledging 'carbon negative'), causal attribution to specific business drivers (datacenters, AI hardware), explicit commitment to remediation. This is what honest reporting of bad news looks like.","VERIFIED_PRIMARY"
